宗教,场所名称,场所类别,所在区,地址,联系电话,邮政编码,负责人,文物保护级别,统一社会信用代码
基督教,上海市浦东新区宣桥固定处所,固定处所,浦东新区,上海市浦东新区宣桥镇宣桥村700号,021—58185470,201314,王而萍长老,无,71310115MCU078551X
基督教,上海市浦东新区康桥固定处所,固定处所,浦东新区,上海市浦东新区康桥镇文卫新村15号,021-68113314转,201319,吴广生,无,71310115MCU07856XM
基督教,上海市浦东新区惠南洁心堂,寺观教堂,浦东新区,上海市浦东新区惠南镇靖海南路99号,021-58007062,201300,唐林雄,无,71310115MCU078578M
基督教,上海市浦东新区新振固定处所,固定处所,浦东新区,上海市浦东新区新振村新二中心场,021-58197060转,201313,周春芳,无,71310115MCU078586G
基督教,上海市浦东新区新陆固定处所,固定处所,浦东新区,上海市浦东新区书院镇桃园村新陆145号,021-58197060转,201304,东爱妹,无,71310115MCU078594B
基督教,上海市浦东新区新港耶稣堂,寺观教堂,浦东新区,上海市浦东新区书院镇棉场村260号,021-58197060,201304,顾春华,无,71310115MCU0786071
基督教,上海市浦东新区新场耶稣堂,寺观教堂,浦东新区,上海市浦东新区新场镇东后老街131号,021-68170899,201314,周银芳,市县级文物保护单位,71310115MCU078615U
基督教,上海市浦东新区鹤东固定处所,固定处所,浦东新区,上海市浦东新区航头镇鹤东村10组,021-68113314转,201317,吴秀华,无,71310115MCU078623N
基督教,上海市浦东新区航头固定处所,固定处所,浦东新区,上海市浦东新区航头镇航兴路18号,021-58170899转,201316,朱彩仙,无,71310115MCU078631H
佛教（汉语系）,上海浦东新区法华学问寺,寺观教堂,浦东新区,上海市浦东新区三林华夏西路399号,021-58490063,200124,大熙,无,71310115763972342G
佛教（汉语系）,上海市浦东新区周浦镇巽龙庵,寺观教堂,浦东新区,上海浦东新区周浦镇南八灶159号,021-68114627,201318,能戒,无,71310115425171403B
佛教（汉语系）,浦东小普陀寺,固定处所,浦东新区,上海市浦东新区川六公路2099号,021-58594060,201202,慧泽,无,71310115557477893C
佛教（汉语系）,上海市浦东新区庆云寺,寺观教堂,浦东新区,上海市浦东新区龙东大道6907号,021-58976069,201201,慧觉,无,71310115425168888L
佛教（汉语系）,上海市浦东新区惠南镇清凉庵,寺观教堂,浦东新区,上海市浦东新区惠南镇工农南路63号,021-58018681,201300,妙觉,无,71310115425171681Q
佛教（汉语系）,上海市浦东新区新场镇南山寺,寺观教堂,浦东新区,上海市浦东新区新场镇新环南路269号,021-68172264,201314,灵宏,市县级文物保护单位,71310115688728971R
佛教（汉语系）,上海市浦东新区泥城镇净心庵,寺观教堂,浦东新区,上海市浦东新区泥城镇横港村十三组,021-20956839,201306,学达,市县级文物保护单位,713101154249139891
佛教（汉语系）,浦东新区川沙新镇会龙寺,固定处所,浦东新区,上海市浦东新区川沙镇会龙村101号,021-58168215,201322,释戒宝,无,713101155904053811
佛教（汉语系）,上海市浦东新区大团镇广福庵,固定处所,浦东新区,上海市浦东新区大团镇园艺村二墩1008号,021—58231127,201311,印杰,无,71310115572722578T
佛教（汉语系）,上海市浦东新区惠南镇福泉寺,寺观教堂,浦东新区,上海市浦东新区惠南镇文体路11号,021-58001405,201300,仿古,市县级文物保护单位,71310115E78970631F
佛教（汉语系）,上海市浦东新区大团镇定慧庵,寺观教堂,浦东新区,上海浦东新区大团镇永春西二路112号,021-58084929,201311,印杰,无,71310115764725140Y
佛教（汉语系）,上海市浦东新区潮音庵,寺观教堂,浦东新区,上海市浦东新区曹路镇李家盘14号,021-58631053,201209,安法,无,71310115A7739192XR
佛教（汉语系）,上海浦东新区长仁禅寺,寺观教堂,浦东新区,上海市浦东新区川沙镇王桥街10号,021-58922358,201200,大熙,无,71310115A773919037
佛教（汉语系）,上海碧云净院,固定处所,浦东新区,上海市浦东新区张江镇环东中心村东庄家宅2号,021—58578534,201210,克莲,无,71310115672679255G
佛教（汉语系）,上海市浦东新区祝桥镇鲍家寺,固定处所,浦东新区,上海市浦东新区祝桥镇华里路465号,021-68102887,201323,仿古,无,71310115577451543F
佛教（汉语系）,上海市浦东新区宝莲庵,寺观教堂,浦东新区,上海市浦东新区高行镇解放村井亭宅36号,021-58619884,200137,戒持,无,71310115A773919112
佛教（汉语系）,上海市浦东新区宣桥镇百拙庵,固定处所,浦东新区,上海市浦东新区宣桥镇光辉村1组,021-58038796,201314,通志,无,71310115666007006M
佛教（汉语系）,上海市浦东新区周浦镇永定寺,固定处所,浦东新区,上海市浦东新区周浦镇周东路270弄61号,021-33899606,201318,玄中,市县级文物保护单位,71310115593189418T
伊斯兰教,上海浦东清真寺,寺观教堂,浦东新区,上海市浦东新区源深路375号,021—50933289,200135,马仁礼,无,713101157914802144
天主教,周浦天主堂,寺观教堂,浦东新区,上海市浦东新区周浦镇军民路,021-68128845,201318,贾晟永,无,71310115688791401R
天主教,六墩天主堂,固定处所,浦东新区,上海市浦东新区祝桥镇盐仓星火7组,021-20924721,200324,李肖强,市县级文物保护单位,71310115312585247F
佛教（汉语系）,上海市浦东新区大团镇唐家庵,寺观教堂,浦东新区,上海市浦东新区大团镇扶栏村544号,021—58085242,201311,宏明,无,713101157714898521
天主教,南黄天主堂,寺观教堂,浦东新区,上海市浦东新区北蔡五星村13组163号,021-58447817,201204,宋建立,无,71310115312470810A
天主教,杨思天主堂,固定处所,浦东新区,上海市浦东新区云台路731号,021-54180599,200126,陈  奇,无,71310115312584981H
天主教,高家宅天主堂,固定处所,浦东新区,上海市浦东新区曹路镇努力村2组,021-50215422,200137,李忠信,无,7131011531247052X4
天主教,川沙天主堂,寺观教堂,浦东新区,上海市浦东新区川沙镇中市街42弄15号,021-58986245,201201,吴宣传,市县级文物保护单位,71310115323121624D
天主教,上海金家巷天主堂,寺观教堂,浦东新区,上海市浦东新区紫槐路80号,021-68569852,200135,陈 奇,无,71310115312470343A
天主教,大七灶天主堂,寺观教堂,浦东新区,上海市浦东新区川沙镇纯新村2组,021-58591194,201202,吴宣传,市县级文物保护单位,71310115323121667T
天主教,外高桥天主堂,寺观教堂,浦东新区,上海市浦东新区莱阳路4288弄2号,13818508106,200137,李忠信,无,71310115312470909T
天主教,十八湾天主堂,固定处所,浦东新区,上海市浦东新区川沙镇黄楼社区栏杆村曹家宅,021—58986245,201200,吴宣传,无,71310115320819867P
天主教,傅家天主堂,寺观教堂,浦东新区,上海市浦东新区浦东大道1115号,021-58853172,200135,贾少平,无,71310115MCU1816205
天主教,其昌栈天主堂,寺观教堂,浦东新区,上海市浦东新区浦东大道666号,021-58769532,200120,贾少平,无,71310115MCU181858C
天主教,万祥天主堂,固定处所,浦东新区,上海市浦东新区万祥镇万宏村万六7组,021-58040711,201313,解建明,无,71310115MCU181903D
天主教,惠南天主堂,寺观教堂,浦东新区,上海市浦东新区惠南镇人民西路167号,021-58024985,201300,刘智伟,市县级文物保护单位,71310115MCU1819118
天主教,张家天主堂,固定处所,浦东新区,上海市浦东新区康桥镇沿南村1组,021—68128845,201319,贾晟永,无,71310115MCU181946T
天主教,顾家楼天主堂,寺观教堂,浦东新区,上海市浦东新区康桥镇汤巷村四组,021—68128845,201319,贾晟永,市县级文物保护单位,71310115MCU181970B
天主教,东施天主堂,寺观教堂,浦东新区,上海市浦东新区唐镇暮一村8组,021—58591194,201201,吴宣传,无,71310115MCU1820687
天主教,上海金桥张家楼耶稣圣心堂,寺观教堂,浦东新区,上海市浦东新区红枫路151号,021-58546628,201206,曾红勤,无,71310115MCU182084W
天主教,飞云桥天主堂,固定处所,浦东新区,上海市浦东新区航头镇飞云村1组,021—68128845,201317,贾晟永,无,71310115MCU18213XT
天主教,怡园天主堂,寺观教堂,浦东新区,上海市浦东新区康桥镇怡园村7组,021—68128845,201319,贾晟永,市县级文物保护单位,71310115MCU182164G
天主教,外龚天主堂,寺观教堂,浦东新区,上海市浦东新区合庆镇青四村二组,021-68906761,201201,高养宏,无,71310115MCU182201N
天主教,西龚天主堂,固定处所,浦东新区,上海市浦东新区合庆镇青三村4组,021-68906717,201201,高养宏,无,71310115MCU182228E
天主教,大团天主堂,寺观教堂,浦东新区,上海市浦东新区大团镇银杏村2组,021-68080099,201312,解建明,无,71310115MCU1822369
天主教,黄华天主堂,寺观教堂,浦东新区,上海市浦东新区书院镇黄华村5组,021-58196132,201304,解建明,无,71310115MCU182252Y
天主教,三墩天主堂,固定处所,浦东新区,上海市浦东新区大团镇三墩邵村11组,021—58040711,201312,解建明,无,71310115MCU182404B
天主教,唐镇天主堂,寺观教堂,浦东新区,上海市浦东新区唐镇老街40号,021-58961182,201210,宋建立,省级文物保护单位,71310115MCU223608E
佛教（汉语系）,上海市金山区欢娱寺,固定处所,金山区,上海市金山区金山工业区欢兴村欢庵2060号,021-67270102,206506,了如,无,71310116063731011W
佛教（汉语系）,上海市金山区大觉寺,固定处所,金山区,上海市金山区朱泾镇慧农村5008号,021-57341163,201599,道楷,无,71310116324421004M
基督教,上海市金山区山阳金山嘴聚会点,固定处所,金山区,上海市金山区山阳镇渔业村3111号,021-57240388,200540,顾红英,无,71310116MCU24832XJ
道教（正一）,上海市金山区廊下城隍庙,固定处所,金山区,上海市金山区廊下镇廊下大街24弄5号,021-57395909,201516,宋国军,无,713101160678284433
道教（正一）,上海市金山区枫泾施王庙,寺观教堂,金山区,上海市金山区枫泾镇北大街393号,021-67354362,201501,袁锴,无,7131011675501403XK
道教（正一）,上海市金山区兴塔双庙,固定处所,金山区,上海市金山区枫泾镇兴塔双庙村,021-67295553,201502,袁锴,无,71310116MCU077209P
道教（正一）,上海市金山区漕泾凤仙道院,固定处所,金山区,上海市金山区漕泾镇营房二组1030号,13764197117,201507,万水祥,无,71310116MCU077217J
基督教,上海市金山区枫泾天命堂,寺观教堂,金山区,上海市金山区枫泾镇友好下塘街43号,021-57352715,201501,还天霞,无,713101165529336429
基督教,上海市金山区朱泾耶稣堂,寺观教堂,金山区,上海市金山区朱泾镇西林街238号,021-57323354,201500,沈在英,无,71310116552933845X
基督教,上海市金山区张堰耶稣堂,寺观教堂,金山区,上海市金山区张堰镇东贤路2588号,021-57217364,201514,顾海英,无,71310116425186867Y
基督教,上海市金山区阮巷耶稣堂,寺观教堂,金山区,上海市金山区漕泾镇阮巷街道2弄8号,021-57259431,201507,张罗荣,无,713101165515721600
基督教,上海市金山区亭林耶稣堂,寺观教堂,金山区,上海市金山区亭林镇东新村14组,021-57232608,201505,张金花,无,713101165515856079
基督教,上海市金山区山阳高桥聚会点,固定处所,金山区,上海市金山区山阳镇工农村3组,021-67252005,201508,吴正芳,无,71310116552933722W
基督教,上海市金山区漕泾镇张家厍聚会点,固定处所,金山区,上海市金山区漕泾镇东海村6组,021-57250316,201507,张天明,无,71310116MCU0826571
基督教,上海市金山区石化临恩堂,寺观教堂,金山区,上海市金山区石化城区临桂路2510号,021-57956146,200540,孙淑英,无,71310116MCU082673N
佛教（汉语系）,上海市金山区东林寺,寺观教堂,金山区,上海市金山区朱泾镇东林街150号,021-57336970,201500,广德,省级文物保护单位,71310116756984070H
佛教（汉语系）,上海市金山区松隐禅寺,寺观教堂,金山区,上海市金山区亭林镇华严塔路58号,021-57381384,201504,法定,省级文物保护单位,7131011642518620XT
佛教（汉语系）,上海市金山区万寿寺,寺观教堂,金山区,上海市金山区金山卫镇金卫村1148号,021-57262454,201512,续建,无,71310116E78985200W
佛教（汉语系）,上海市金山区五龙禅寺,寺观教堂,金山区,上海市金山区金张公路6006号,021-57340217,201503,善忍,无,71310116E7884503XW
佛教（汉语系）,上海市金山区性觉寺,寺观教堂,金山区,上海市金山区枫泾镇枫湾路568号（白牛路北端）,021-57351214,201501,妙悟,无,71310116424926077J
佛教（汉语系）,上海市金山区胥浦净寺,固定处所,金山区,上海市金山区吕巷镇马新村3053号,021-67227281,201517,法能,无,713101165515901829
伊斯兰教,金山清真寺,固定处所,金山区,上海市金山区石化城区荔浦路135弄33号,021-57970799,200540,马进良,无,713101165500729307
天主教,上海市金山区亭林十三保天主堂,寺观教堂,金山区,上海市金山区亭林镇红阳村8026号,021-57237827,201505,史振江,无,71310116301436908A
天主教,上海市金山区廊下虹桥天主堂,寺观教堂,金山区,上海市金山区廊下镇南塘村3111号,021-57376411,201517,赵奉献,无,71310116320765734B
天主教,上海市金山区张堰百家村天主堂,寺观教堂,金山区,上海市金山区张堰镇百家村4056号,021-57213372,201514,赵奉献,无,713101167824374845
天主教,上海市金山区枫泾砚池浜天主堂,寺观教堂,金山区,上海市金山区枫泾镇五一村潜庄1054号,021-57361794,201502,韦红星,无,71310116MCU1817194
天主教,上海市金山区朱泾水字圩天主堂,固定处所,金山区,上海市金山区朱泾镇联盟村1组,无,201500,韦红星,无,71310116MCU181751F
天主教,上海市金山区廊下宋家厍天主堂,固定处所,金山区,上海市金山区廊下镇中民村3组,无,201516,赵奉献,无,71310116MCU1818238
天主教,上海市金山区枫泾潮泥滩天主堂,固定处所,金山区,上海市枫泾镇菖梧村12组,无,201501,韦红星,无,71310116MCU1818313
天主教,上海市金山区张堰横港天主堂,固定处所,金山区,上海市金山区张堰镇秦望村2组,无,201514,赵奉献,无,71310116MCU1819544
天主教,上海市金山区吕巷小漕泾天主堂,固定处所,金山区,上海市金山区吕巷镇龙跃村10组,无,201518,赵奉献,无,71310116MCU182009J
天主教,上海市金山区亭林阮家天主堂,固定处所,金山区,上海市金山区亭林镇六塔村9组,无,201505,史振江,无,71310116MCU182172R
天主教,上海市金山区枫泾露德堂,固定处所,金山区,上海市金山区枫泾镇农兴村1007号,无,201501,韦红星,无,71310116MCU182180L
天主教,上海市金山区朱泾西墙界天主堂,固定处所,金山区,上海市金山区朱泾镇富强6组,无,201500,韦红星,无,71310116MCU182412L
道教（正一）,松江区观音堂,固定处所,松江区,上海市松江区陈家弄7号,13818152940,201600,颜春喜,市县级文物保护单位,713101173323607070
道教（正一）,广富林关帝庙,固定处所,松江区,上海市松江区广富林路2900弄,13621946024,201600,颜春喜,无,71310117MCU077225U
佛教（汉语系）,上海松江区知也禅寺,固定处所,松江区,上海市松江区广富林路2900弄内,021-37761706,201620,如恒,无,713101170840695818
佛教（汉语系）,上海松江区灌顶禅寺,固定处所,松江区,上海市松江区玉树路2336号,021-33550121,201600,悟旺,无,71310117MCU131690J
道教（正一）,上海市松江区东岳庙,寺观教堂,松江区,上海市松江区松江区中山中路196弄9号,021—57722809,201600,颜春喜,无,71310117759559272N
基督教,松江区基督教新恩堂,固定处所,松江区,上海市松江区新桥镇潘家村,13918502037,201612,蒋芳英,无,71310117MCU07864X6
基督教,松江区基督教叶榭耶稣堂,固定处所,松江区,上海市松江区叶榭镇团结村,021—57801537,201609,徐金荣,无,71310117MCU0786586
基督教,松江区基督教小昆山耶稣堂,寺观教堂,松江区,上海市松江区小昆山镇鹤溪街129号,021—57762534,201616,王志英,无,71310117MCU078690H
基督教,松江区基督教泗泾福音堂,寺观教堂,松江区,上海市松江区泗泾镇开江东路48号,021—57620020,201601,陈惠华,无,71310117MCU078682N
基督教,松江区基督教得胜堂,固定处所,松江区,上海市松江区石湖荡东港村,13764099085,201617,蒋爱芳,无,71310117MCU078674U
基督教,松江区基督教蒙恩堂,固定处所,松江区,上海市松江区泖港中南路,021—57862871,201607,吕玉云,无,71310117MCU0786661
基督教,松江区基督教永恩堂,寺观教堂,松江区,上海市松江区仓丰路128号,021—57820762,201600,陈爱敏,无,71310117MCU0787037
基督教,松江区基督教石湖荡耶稣堂,寺观教堂,松江区,上海市松江区石湖荡镇新源古场158号,021—57752536,201604,陈慧荣,无,71310117MCU0787112
基督教,松江区基督教新浜耶稣堂,寺观教堂,松江区,上海市松江区新浜镇叶新公路5688号,021—57899182,201605,蔡冬根,无,71310117MCU07872XR
基督教,松江区基督教佘山聚会点,固定处所,松江区,上海市松江区佘山镇桃源路690弄24号,021—57653179,201602,王志英,无,71310117MCU078738R
佛教（汉语系）,上海市松江区九亭资庆寺,固定处所,松江区,上海市松江区九亭镇姚北路33号,021-67693813,201615,能慈,无,71310117684020773W
佛教（汉语系）,上海市松江区延寿寺,寺观教堂,松江区,上海市松江区石湖荡镇李塔街130号,021-37840038,201617,灵彻,无,71310117762243340Y
佛教（汉语系）,上海市松江区西林禅寺,寺观教堂,松江区,上海市松江区中山中路666号,021-57813454,201600,悟端,省级文物保护单位,7131011775503951X0
佛教（汉语系）,上海市松江区普善讲寺,固定处所,松江区,上海市松江区叶榭镇井凌桥村425号,021-57803000,201608,圣慧,无,71310117568028866X
佛教（汉语系）,上海市松江区小昆山镇九峰禅寺,寺观教堂,松江区,上海市松江区小昆山镇山西路4号,021-57766553,201616,戒法,无,71310117568012514E
佛教（汉语系）,上海市松江区福田净寺,寺观教堂,松江区,上海市松江区泗泾镇开泾路300弄30号,021-57612553,201601,明非,无,713101177732858023
佛教（汉语系）,上海市松江区东禅古寺,寺观教堂,松江区,上海市松江区东门村657号,021-57831580,201613,常定,无,71310117774790333K
佛教（汉语系）,上海市松江区大方禅院,寺观教堂,松江区,上海市松江区新浜镇大方支路26弄29号,021-57896059,201605,能慧,市县级文物保护单位,71310117769680199K
伊斯兰教,松江清真寺,寺观教堂,松江区,上海市松江区缸甏巷75号,021－57823684,201600,孙学成,省级文物保护单位,7131011769577831XB
天主教,中桥圣伯多禄圣保禄堂,固定处所,松江区,上海市松江区永丰街道盐仓二队,021-57735263,201600,高学谦,无,71310117685489223B
天主教,五厍玫瑰圣母堂,寺观教堂,松江区,上海市松江区泖港五厍曹家浜村,021-57877079,201606,田明刚,无,7131011768732393XL
天主教,邱家湾耶稣圣心堂,寺观教堂,松江区,上海市松江区方塔北路281,021-67831131,201600,何永辉,市县级文物保护单位,71310117324531641B
佛教（汉语系）,上海松江区天马山圆智寺,固定处所,松江区,上海市松江区天马山公园,021-57660309,201603,悟端（兼）,无,71310117MCU137216H
天主教,佘山中山圣母堂,寺观教堂,松江区,上海市松江区佘山镇西佘山,021-57651521,201602,李方元,无,713101177878006336
天主教,江秋耶稣圣心堂,固定处所,松江区,上海市松江区佘山江秋村河北队,无,201602,李方元,无,71310117MCU181727D
天主教,中泾圣母领报堂,寺观教堂,松江区,上海市松江工业区新兴村南新224号,无,201611,何永辉,无,71310117MCU181778M
天主教,横塘圣母领报堂,寺观教堂,松江区,上海市松江区泗泾镇横塘桥村,021-57817079,201601,何永辉,无,71310117MCU182017U
天主教,张朴桥圣母无原罪始胎堂,寺观教堂,松江区,上海市松江区佘山镇张朴村六队,无,201602,李方元,无,71310117MCU182340A
天主教,若瑟堂,固定处所,松江区,上海市松江区佘山江秋村河北队,无,201602,李方元,无,71310117MCU182383P
天主教,佘山山顶圣母大殿,寺观教堂,松江区,上海市松江区佘山镇西佘山,021-57651521,201602,李方元,省级文物保护单位,71310117MCU182455G
道教（正一）,青浦城隍庙,寺观教堂,青浦区,上海市青浦区公园路650号,021-59738889,201700,成笃生,市县级文物保护单位,71310118680999988W
道教（正一）,上海市青浦区白鹤施相公庙,固定处所,青浦区,上海市青浦区青浦区白鹤镇沈联村,021-59740389,201709,刘勇,无,713101185601705340
道教（正一）,上海市青浦区朱家角城隍庙,寺观教堂,青浦区,上海市青浦区朱家角漕河街69号,021-59242597,201713,翟仁军,市县级文物保护单位,71310118424930308Q
道教（正一）,上海市青浦区章堰城隍庙,固定处所,青浦区,上海市青浦区重固镇章堰村,021－59860379,201706,张道春,无,71310118583467920J
基督教,上海市青浦区基督教沈巷赐恩堂,寺观教堂,青浦区,上海市青浦区朱家角镇沈巷沈太路303号,021-59831602,201714,沈菊英,无,71310118MCU082729N
基督教,上海市青浦区基督教白鹤蒙恩堂,寺观教堂,青浦区,上海市青浦区白鹤镇王家村31,021-59747629,201709,胡慧凤,无,71310118MCU082745C
基督教,上海市青浦区基督教重固重生堂,寺观教堂,青浦区,上海市青浦区重固镇福中路289号,021-59782977,201706,黄志毅,无,71310118MCU0827612
基督教,上海市青浦区基督教朱家角颂恩堂,寺观教堂,青浦区,上海市青浦区朱家角镇人和路22号,021-59237554,201713,陆玉弟,无,71310118MCU08277XR
基督教,上海市青浦区基督教商榻圣恩堂,寺观教堂,青浦区,上海市青浦区金泽镇商榻陈东许七1144号,021-59288849,201719,童程芳,无,71310118MCU082788R
基督教,上海市青浦区基督教堂,寺观教堂,青浦区,上海市青浦区青松路405弄75号,021－59728075,201700,方建根,无,71310118MCU082796L
基督教,上海市青浦区基督教练塘灵恩堂,寺观教堂,青浦区,上海市青浦区练塘镇下塘街37弄5号,021-50255094,201715,童明芳,无,71310118MCU082809A
基督教,上海市青浦区基督教金泽耶稣堂　,寺观教堂,青浦区,上海市青浦区金泽镇金鹰南路10号,021-59261223,201718,顾晓芸,无,71310118MCU0828175
基督教,上海市青浦区基督教华新救恩堂,固定处所,青浦区,上海市青浦区华新镇马阳村,021-59794065,201708,陆彩红,无,71310118MCU0828250
基督教,上海市青浦区基督教凤溪聚会点,固定处所,青浦区,上海市青浦区基督教凤溪扬家庄,021-59779062,201715,洪天凑,无,71310118MCU082841M
基督教,上海市青浦区基督教赵屯永恩堂,寺观教堂,青浦区,上海市青浦区赵屯青赵公路5501号,021-59214120,201711,李彩娟,无,71310118MCU08285XD
基督教,上海市青浦区基督教徐泾主恩堂,寺观教堂,青浦区,上海市青浦区徐泾镇育才路569号,021-59766214,201702,黄照英,无,71310118MCU082868D
佛教（汉语系）,上海市青浦区庄严寺,寺观教堂,青浦区,上海市青浦区练塘镇蒸淀东团村366号,021-59828250,201717,心明,无,713101187718062055
佛教（汉语系）,上海市青浦区圆津禅院,寺观教堂,青浦区,上海市青浦区朱家角镇漕河街193号,021-59240632,201713,宏戒,无,71310118738128836C
佛教（汉语系）,上海市青浦区颐浩禅寺,寺观教堂,青浦区,上海市青浦区金泽镇迎祥街12号,021-59261391,201718,昌智,市县级文物保护单位,713101186677822237
佛教（汉语系）,上海市青浦区天光寺,寺观教堂,青浦区,上海市青浦区练塘镇练东村泖口600号,021-59849901,201715,能照,市县级文物保护单位,71310118752469848G
佛教（汉语系）,上海市青浦区青龙寺,寺观教堂,青浦区,上海市青浦区白鹤镇青龙村474号,021-69744481,201709,耀忠,市县级文物保护单位,71310118425190794C
佛教（汉语系）,上海市青浦区蟠龙庵,寺观教堂,青浦区,上海市青浦区徐泾镇蟠龙村,021-59883940,201702,通世,无,713101187872486077
佛教（汉语系）,上海市青浦区明因寺,固定处所,青浦区,上海市青浦区练塘镇联农村四农343号,021—59250233,201715,月慧,无,71310118066012864X
佛教（汉语系）,上海市青浦区莲花寺,固定处所,青浦区,上海市青浦区练塘镇小蒸西村264号,021—59810053,201716,隆德,无,71310118588660738J
佛教（汉语系）,上海市青浦区观音寺,固定处所,青浦区,上海市青浦区华新镇三星街175号,021-59771211,201705,慧康,无,713101186886816190
佛教（汉语系）,上海市青浦区法会庵,寺观教堂,青浦区,上海市青浦区重固镇通波塘东街285号,021-59780727,201706,本愿,无,713101187757727279
佛教（汉语系）,上海市青浦区报国寺,寺观教堂,青浦区,上海市青浦区青浦区朱家角镇淀峰村452号,021-69247826,201713,昌智,市县级文物保护单位,71310118754321257D
佛教（汉语系）,上海市青浦区宝庆寺,寺观教堂,青浦区,上海市青浦区青浦区南门街100号,021-59737360,201700,昌义,无,71310118558783833A
天主教,上海青浦泰来桥天主堂,寺观教堂,青浦区,上海市青浦区夏阳街道城南村70号,021-59859391,201700,王景茂,市县级文物保护单位,71310118667820920B
佛教（汉语系）,上海市青浦区总管庙,固定处所,青浦区,上海市青浦区金泽镇上塘街8号（总管桥边）,021-59261391,201718,昌智,无,71310118MCU1373391
佛教（汉语系）,上海市青浦区杨震庙,固定处所,青浦区,上海市青浦区金泽镇迎祥街12号,021-59261016,201718,星明,无,71310118MCU13738X4
天主教,上海青浦朱家角天主堂,寺观教堂,青浦区,上海市青浦区朱家角漕河街317弄27号,021-59240877,201713,龚天德,无,71310118MCU181671Q
天主教,上海青浦杨字圩天主堂,寺观教堂,青浦区,上海市青浦区盈浦街道青赵路,021-69203596,201700,龚天德,无,71310118MCU1817004
天主教,上海青浦练塘天主堂,寺观教堂,青浦区,上海市青浦区莲塘镇钟联村291号,021-59257311,201717,龚天德,无,71310118MCU181743H
天主教,上海青浦蔡家湾天主堂,寺观教堂,青浦区,上海市青浦区青浦区徐泾镇高泾小区185号,021-69233152,201702,蔡平华,无,71310118MCU182359M
天主教,上海青浦区赵巷小东圩天主堂,寺观教堂,青浦区,上海市青浦区赵巷镇方夏村八组,021-59759159,201703,盛月林,无,71310118MCU1824474
道教（正一）,上海市奉贤区白沙庙,固定处所,奉贤区,上海市奉贤区金汇镇白沙八组,021-57577741,201404,马志平,无,713101206726963469
道教（正一）,奉贤上真道院,寺观教堂,奉贤区,上海市奉贤区柘林镇新寺社区南宅村1052号,021-33653937,201416,马志平,无,71310120424917533N
道教（正一）,奉贤区邬桥城隍庙,固定处所,奉贤区,上海市奉贤区庄行镇牛桥村5组,13916572840,201415,马志平,无,71310120MCU077241U
基督教,奉贤区基督教邬桥耶稣堂,固定处所,奉贤区,上海市奉贤区庄行镇邬桥社区相计一组146号,021-67182662,201402,李静,无,71310120596417404A
基督教,奉贤区基督教头桥蒙恩堂,寺观教堂,奉贤区,上海市奉贤区奉城镇头桥社区二桥村704,021-57555232,201409,方平,无,713101205964173674
基督教,奉贤区基督教塘外恩门堂,寺观教堂,奉贤区,上海市奉贤区奉城镇塘外社区大门村三组309号,021-57171409,201408,黄丽雅,无,71310120596417287G
基督教,奉贤区基督教四团耶稣堂,寺观教堂,奉贤区,上海市奉贤区四团镇西街70号,021-57533226,201412,乔桂仙,无,713101205964107476
基督教,奉贤区基督教邵厂耶稣堂,寺观教堂,奉贤区,上海市奉贤区四团镇良民村1404号,021-57141356,201413,沈继红,无,71310120596417586E
基督教,奉贤区基督教青村耶稣堂,寺观教堂,奉贤区,上海市奉贤区青村镇钟家村8组811号,021-57568070,201414,杨金仙,无,71310120596410771N
基督教,奉贤区基督教钱桥耶稣堂,寺观教堂,奉贤区,上海市奉贤区青村镇金王村173号,021-57597691,201407,沈梅花,无,71310120596417527B
基督教,奉贤区基督教齐贤耶稣堂,寺观教堂,奉贤区,上海市奉贤区金汇镇齐贤社区百曲村三组仓库,021-57574652,201403,沈美娟,无,713101205964106838
基督教,奉贤区基督教平安耶稣堂,寺观教堂,奉贤区,上海市奉贤区平安海港红庄村12组1232号,021-57542317,201413,张秀英,无,71310120596410667J
基督教,奉贤区基督教农展耶稣堂,寺观教堂,奉贤区,上海市奉贤区海港开发区农展村1组101号,021-57542285,201413,黄秀红,无,713101205964107551
基督教,奉贤区基督教南桥耶稣堂,寺观教堂,奉贤区,上海市奉贤区南桥镇南奉公路8509弄10号,021-67180496,201400,金亚芳,无,713101205964175949
基督教,奉贤区基督教泰日恩光堂,寺观教堂,奉贤区,上海市奉贤区金汇镇泰日社区梅园村551号,021-57581551,201405,李华,无,71310120596410763U
基督教,奉贤区基督教金汇耶稣堂,寺观教堂,奉贤区,上海市奉贤区金汇镇金星村455号,021-57483017,201404,王芳,无,71310120741185815J
基督教,奉贤区基督教胡桥锡安堂,固定处所,奉贤区,上海市奉贤区柘林镇胡桥社区大树村1组132号,021-57452691,201417,康水华,无,7131012059641756XK
基督教,奉贤区基督教洪庙鸿恩堂,寺观教堂,奉贤区,上海市奉贤区奉城镇洪庙社区洪北村4组501号,021-57138296,201411,陆菊仙,无,71310120596410958M
基督教,奉贤区基督教光明耶稣堂,寺观教堂,奉贤区,上海市奉贤区南桥镇杨王社区村牌村832号,021-37517469,201406,金美莲,无,713101205964106913
基督教,奉贤区基督教奉城耶稣堂,寺观教堂,奉贤区,上海市奉贤区奉城镇南街村451号,021-57521046,201411,李丹丹,无,71310120596417252X
基督教,奉贤区基督教泰日陆厍堂,寺观教堂,奉贤区,上海市奉贤区金汇镇南陈村936号,021-57584212,201405,乔水英,无,71310120753184799Q
